City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,paracuru,-3.41,-39.0306,30.06,61,65,7.1,BR,1707755414
202,okhotsk,59.3833,143.3,-30.77,98,64,2.78,RU,1707755487
203,madaoua,14.073,5.96,33.54,5,0,3.5,NE,1707755487
204,tolanaro,-25.0319,46.9987,27.04,83,40,6.17,MG,1707755488
205,jinxiang,27.4327,120.6062,10.89,76,27,3.22,CN,1707755488
206,corinto,37.9407,22.9573,13.83,70,6,4.69,GR,1707755489
207,lhokseumawe,5.1801,97.1507,26.12,77,28,3.67,ID,1707755489
208,oriximina,-1.7656,-55.8661,28.64,75,68,2.22,BR,1707755489
209,oranjemund,-28.55,16.4333,20.5,86,15,5.23,NA,1707755490
210,porto novo,6.4965,2.6036,31.9,73,2,5.09,BJ,1707755490
211,pisco,-13.7,-76.2167,26.12,78,100,4.63,PE,1707755491
212,reggane,26.7158,0.1714,29.28,17,0,3.36,DZ,1707755492
213,palikir - national government center,6.9248,158.1611,26.41,78,100,4.63,FM,1707755492
214,mejit,10.2753,170.8646,26.63,77,100,8.63,MH,1707755493
215,kailua-kona,19.6406,-155.9956,21.98,74,100,2.06,US,1707755493
216,harstad,68.799,16.5293,-2.69,76,93,4.8,NO,1707755493
217,playas,-2.6333,-80.3833,26.0,85,100,0.28,EC,1707755493
218,nenjiang,49.1833,125.2167,-12.49,96,100,0.95,CN,1707755493
219,yardimli,38.9206,48.2372,9.39,46,29,2.4,AZ,1707755494
220,rio grande,-32.035,-52.0986,33.96,47,52,3.6,BR,1707755375
221,ananindeua,-1.3656,-48.3722,32.95,58,75,5.14,BR,1707755494
222,tromso,69.6496,18.957,-9.99,85,0,1.54,NO,1707755494
223,belabo,4.9333,13.3,31.64,20,79,1.24,CM,1707755494
224,yei,4.095,30.6779,25.94,53,53,1.32,SS,1707755494
225,den burg,53.0542,4.7972,7.2,85,20,5.14,NL,1707755497
226,fale old settlement,-9.3852,-171.2468,28.25,83,100,9.26,TK,1707755498
227,nagqu,31.5,92.0,-8.0,26,43,2.04,CN,1707755498
228,puerto aysen,-45.4,-72.7,19.58,43,10,1.37,CL,1707755498
229,kuybyshevo,47.8123,38.9073,9.07,75,100,2.34,RU,1707755500
230,haiku-pauwela,20.9219,-156.3051,20.02,75,0,1.54,US,1707755500
231,halvad,23.0167,71.1833,20.42,31,100,3.65,IN,1707755500
232,minas de marcona,-15.2119,-75.1103,24.34,57,65,6.02,PE,1707755500
233,cambria,35.5641,-121.0808,14.23,67,3,1.35,US,1707755500
234,williams lake,52.1415,-122.1445,-3.24,100,75,1.03,CA,1707755501
235,florence,43.7667,11.25,14.26,74,40,3.6,IT,1707755501
236,parbatipur,25.6649,88.9247,18.88,18,6,2.11,BD,1707755501
237,galveston,29.3669,-94.9669,12.22,64,0,10.8,US,1707755501
238,hithadhoo,-0.6,73.0833,27.24,82,100,7.44,MV,1707755501
239,acajutla,13.5928,-89.8275,29.58,52,5,3.01,SV,1707755502
240,prince george,53.9166,-122.753,-7.31,86,100,2.57,CA,1707755502
241,fraserburgh,57.6874,-2.0184,5.8,78,20,8.81,GB,1707755502
242,mermoz boabab,14.7065,-17.4758,38.31,61,0,5.14,SN,1707755502
243,holualoa,19.6228,-155.9522,19.91,75,100,2.06,US,1707755502
